SPY
QQQ
DIA
IWM
XLK
XLF
XLE
XLV
XLY
XLI
XLP
XLU
XLB
XLC
XLRE
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
BRK-B
JPM
BAC
WFC
GS
MS
V
MA
AXP
UNH
LLY
JNJ
MRK
PFE
AMGN
ABBV
TMO
DHR
ISRG
XOM
CVX
COP
SLB
PG
KO
PEP
COST
WMT
HD
LOW
MCD
NKE
SBUX
AVGO
AMD
INTC
QCOM
TXN
AMAT
LRCX
MU
CSCO
ORCL
IBM
ADBE
CRM
NOW
INTU
CMCSA
DIS
NFLX
TMUS
T
VZ
UNP
UPS
RTX
HON
CAT
GE
BA
SPGI
BLK
BKNG
UBER
ABNB
PLTR
PANW
CRWD
SNOW
MDB
TSM
ASML
SAP
NVO
NVS
SNY
UL
DEO
GSK
AZN
BP
SHEL
HSBC
RIO
BHP
BTI
RELX
ING
UBS
DB
SAN
BBVA
TEF
SHOP
TD
BNS
BMO
RY
CM
ENB
TRP
SU
CNQ
CP
CNI
BCE
TM
HMC
SONY
MUFG
SMFG
MFG
TAK
KB
KEP
SKM
BABA
JD
BIDU
PDD
NTES
TME
LI
NIO
XPEV
TCOM
INFY
WIT
HDB
IBN
RDY
VALE
PBR
ITUB
BSBR
NU
MELI
ABEV
SE
GRAB
