ABN.AS
ADYEN.AS
AGN.AS
AD.AS
AKZA.AS
MT.AS
ASM.AS
ASML.AS
ASRNL.AS
BESI.AS
DSFIR.AS
EXO.AS
HEIA.AS
IMCD.AS
INGA.AS
KPN.AS
NN.AS
PHIA.AS
PRX.AS
RAND.AS
REN.AS
SHELL.AS
UMG.AS
UNA.AS
WKL.AS
CVC.AS
INPST.AS
JDEP.AS
WDP.BR
ARCAD.AS
HAL.AS
AALB.AS
SBMO.AS
LIGHT.AS
ALLFG.AS
VPK.AS
CTPNV.AS
BAMNB.AS
HEIJM.AS
VLK.AS
FAGR.AS
APAM.AS
ECMPA.AS
TWEKA.AS
GLPG.AS
BFIT.AS
HAVAS.AS
AMG.AS
FLOW.AS
CRBN.AS
PHARM.AS
FUR.AS
OCI.AS
SAP.DE
SIE.DE
DTE.DE
ALV.DE
BMW.DE
MBG.DE
VOW3.DE
BAS.DE
BAYN.DE
IFX.DE
MUV2.DE
RWE.DE
VNA.DE
PUM.DE
FRE.DE
FME.DE
HNR1.DE
MC.PA
OR.PA
AIR.PA
SAN.PA
BNP.PA
ACA.PA
GLE.PA
SU.PA
DG.PA
HO.PA
KER.PA
RI.PA
TTE.PA
ENGI.PA
SGO.PA
CAP.PA
NOVO-B.CO
VWS.CO
ITX.MC
IBE.MC
SAN.MC
BBVA.MC
TEF.MC
REP.MC
ENEL.MI
ENI.MI
ISP.MI
UCG.MI
VOLV-B.ST
ERIC-B.ST
ATCO-A.ST
SAND.ST
SKA-B.ST
HM-B.ST
