AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
BRK-B
JPM
BAC
WFC
GS
MS
V
MA
AXP
UNH
LLY
JNJ
MRK
PFE
AMGN
ABBV
TMO
DHR
ISRG
XOM
CVX
COP
SLB
PG
KO
PEP
COST
WMT
HD
LOW
MCD
NKE
SBUX
AVGO
AMD
INTC
QCOM
TXN
AMAT
LRCX
MU
CSCO
ORCL
IBM
ADBE
CRM
NOW
INTU
CMCSA
DIS
NFLX
TMUS
T
VZ
UNP
UPS
RTX
HON
CAT
GE
BA
SPGI
BLK
BKNG
UBER
ABNB
PLTR
PANW
CRWD
SNOW
MDB
TSM
ASML
SAP
NVO
NVS
SNY
UL
DEO
GSK
AZN
BP
SHEL
HSBC
RIO
BHP
BTI
RELX
ING
UBS
DB
SAN
BBVA
TEF
SHOP
TD
BNS
BMO
RY
CM
ENB
TRP
SU
CNQ
CP
CNI
BCE
TM
HMC
SONY
MUFG
SMFG
MFG
TAK
KB
KEP
SKM
BABA
JD
BIDU
PDD
NTES
TME
LI
NIO
XPEV
TCOM
INFY
WIT
HDB
IBN
RDY
VALE
PBR
ITUB
BSBR
NU
MELI
ABEV
SE
GRAB
SPY
QQQ
DIA
IWM
XLB
XLC
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
XLRE
LMT
NOC
LHX
GD
TDG
HWM
AXON
HII
SAIC
CACI
LDOS
KTOS
AVAV
TXT
BWXT
HEI
MRCY
DRS
CW
WWD
HXL
TDY
BAH
OSIS
KBR
FLR
PKE
VSEC
RKLB
BAESY
EADSY
FINMY
THLLY
RNMBY
SAABY
SAFRY
RYCEY
QNTQY
MTLHY
ITA
XAR
PPA
DFEN
BMY
GILD
VRTX
REGN
BIIB
ALNY
MRNA
BNTX
RHHBY
TEVA
BAYRY
CSLLY
MDT
ABT
SYK
BSX
ZBH
EW
HOLX
DXCM
RMD
BDX
BAX
STE
PEN
IDXX
ZTS
WAT
MTD
IQV
LH
DGX
ILMN
EXAS
NTRA
ALKS
HALO
KRYS
FOLD
RVMD
PCVX
MIRM
PRAX
INSM
ARGX
SRPT
CRSP
NTLA
BEAM
EDIT
ELV
CI
HUM
CVS
HCA
CNC
UHS
THC
MCK
CAH
COR
VHT
IBB
XBI
IHE
IXJ
PJP
AZN.L
GSK.L
SHEL.L
BP.L
RIO.L
BHP.L
ULVR.L
DGE.L
HSBA.L
BARC.L
NG.L
VOD.L
REL.L
LSEG.L
RR.L
NESN.SW
NOVN.SW
ROG.SW
UBSG.SW
