JNJ
PFE
MRK
ABBV
BMY
LLY
AMGN
GILD
VRTX
REGN
BIIB
ALNY
MRNA
BNTX
NVS
AZN
SNY
RHHBY
NVO
GSK
TAK
TEVA
BAYRY
CSLLY
MDT
ABT
SYK
BSX
ISRG
ZBH
EW
HOLX
DXCM
RMD
BDX
BAX
TMO
DHR
STE
PEN
IDXX
ZTS
WAT
MTD
IQV
LH
DGX
ILMN
EXAS
NTRA
ALKS
HALO
KRYS
FOLD
RVMD
PCVX
MIRM
PRAX
INSM
ARGX
SRPT
CRSP
NTLA
BEAM
EDIT
UNH
ELV
CI
HUM
CVS
HCA
CNC
UHS
THC
MCK
CAH
COR
